Código,Banco,Site,
130,Caruana Scfi,https://www.caruanafinanceira.com.br/,
159,Casa Credito S.A,http://www.casadocredito.com.br/,
16,Ccm Desp Trâns Sc E Rs,,
89,Ccr Reg Mogiana,,
114,Central Cooperativa De Crédito No Estado Do Espírito Santo,http://cecoop.com.br/central/,
114-7,Central das Cooperativas de Economia e Crédito Mútuo doEstado do Espírito Santo Ltda.,www.cecoop.com.br,
320,China Construction Bank (Brasil) Banco Múltiplo S.A.,www.br.ccb.com,
477,Citibank N.A.,www.citibank.com,
180,Cm Capital Markets Cctvm Ltda,https://cmcapital.com.br/,
127,Codepe Cvc S.A,https://www.codepe.com.br/,
163,Commerzbank Brasil S.A. – Banco Múltiplo,www.commerzbank.com.br,
60,Confidence Cc S.A,https://www.confidencecambio.com.br/,
85,Coop Central Ailos,https://www.ailos.coop.br/,
97,Cooperativa Central de Crédito Noroeste Brasileiro Ltda.,www.credisis.com.br,
085-x,Cooperativa Central de Crédito Urbano-CECRED,www.cecred.coop.br/,
090-2,Cooperativa Central de Economia e Crédito Mutuo – SICOOB UNIMAIS,www.sicoobunimais.com/,
087-6,Cooperativa Central de Economia e Crédito Mútuo das Unicredsde Santa Catarina e Paraná,www.unicred.com.br/centralscpr/,
089-2,Cooperativa de Crédito Rural da Região da Mogiana,www.credisan.com.br,
286,Cooperativa de Crédito Rural De Ouro,,
279,Cooperativa de Crédito Rural de Primavera Do Leste,,
273,Cooperativa de Crédito Rural de São Miguel do Oeste – Sulcredi/São Miguel,,
98,Credialiança Ccr,http://www.credialianca.com.br/,
098-1,CREDIALIANÇA COOPERATIVA DE CRÉDITO RURAL,www.credialianca.com.br,
10,Credicoamo,http://www.credicoamo.com.br/site/,
133,Cresol Confederação,https://www.cresol.coop.br/,
182,Dacasa Financeira S/A,https://dacasa.com.br/,
707,Banco Daycoval S.A.,www.daycoval.com.br,
487,Deutsche Bank S.A. – Banco Alemão,www.deutsche-bank.com.br,
140,Easynvest – Título Cv S.A,https://www.easynvest.com.br/,
149,Facta S.A. Cfi,http://www.facta.com.br/,
285,Frente Corretora de Câmbio Ltda.,https://frentecorretora.com.br/,
278,Genial Investimentos Corretora de Valores Mobiliários S.A.,https://www.genialinvestimentos.com.br/,
138,Get Money Cc Ltda,https://www.getmoney.com.br/,
64,Goldman Sachs do Brasil Banco Múltiplo S.A.,www.goldmansachs.com,
177,Guide Investimentos S.A. Corretora de Valores,https://www.guide.com.br/,
146,Guitta Corretora de Câmbio Ltda,https://www.guitta.com.br/,
78,Haitong Banco de Investimento do Brasil S.A.,www.haitongib.com.br,
62,Hipercard Banco Múltiplo S.A.,www.hipercard.com.br,
189,HS Financeira S/A Crédito, Financiamento e Investimentos,www.hsfinanceira.com.br
269,HSBC Brasil S.A. – Banco de Investimento,,
271,IB Corretora de Câmbio, Títulos e Valores Mobiliários S.A.,http://ibcorretora.com.br/
157,Icap Do Brasil Ctvm Ltda,,
132,ICBC do Brasil Banco Múltiplo S.A.,www.icbcbr.com.br,
492,ING Bank N.V.,www.ing.com,
139,Intesa Sanpaolo Brasil S.A. – Banco Múltiplo,www.intesasanpaolobrasil.com.br,
652,Itaú Unibanco Holding S.A.,www.itau.com.br,
341,Itaú Unibanco S.A.,www.itau.com.br,
488,JPMorgan Chase Bank, National Association,www.jpmorganchase.com
399,Kirton Bank S.A. – Banco Múltiplo,,
293,Lastro RDV Distribuidora de Títulos e Valores Mobiliários Ltda.,https://www.lastro.com.br/,
105,Lecca Crédito, Financiamento e Investimento S/A,www.lecca.com.br
145,Levycam Ccv Ltda,https://www.levycam.com.br/,
113,Magliano S.A,https://www.magliano.com.br/,
323,Mercado Pago – Conta Do Mercado Livre,https://www.mercadopago.com.br/,
128,MS Bank S.A. Banco de Câmbio,www.msbank.com.br,
137,Multimoney Cc Ltda,,
14,Natixis Brasil S.A. Banco Múltiplo,www.br.natixis.com,
191,Nova Futura Corretora de Títulos e Valores Mobiliários Ltda.,https://www.novafutura.com.br/,
753,Novo Banco Continental S.A. – Banco Múltiplo,www.nbcbank.com.br,
260,Nu Pagamentos S.A (Nubank),https://nubank.com.br/,
613,Omni Banco S.A.,www.bancopecunia.com.br,
613,Omni Banco S.A.,www.omni.com.br,
290,Pagseguro Internet S.A,https://pagseguro.uol.com.br/,
254,Paraná Banco S.A.,www.paranabanco.com.br,
326,Parati – Crédito Financiamento e Investimento S.A.,,
194,Parmetal Distribuidora de Títulos e Valores Mobiliários Ltda,https://www.parmetal.com.br/,
174,Pernambucanas Financ S.A,https://www.pernambucanas.com.br/servicos-financeiros,
100,Planner Corretora De Valores S.A,https://www.planner.com.br/,
125,Plural S.A. – Banco Múltiplo,www.brasilplural.com,
93,Pólocred Scmepp Ltda,https://www.polocred.com.br/,
108,Portocred S.A,https://www.portocred.com.br,
283,Rb Capital Investimentos Dtvm Ltda,https://www.rbcapital.com/,
101,Renascenca Dtvm Ltda,http://www.dtvm.com.br/,
270,Sagitur Corretora de Câmbio Ltda.,https://www.sagiturcorretora.com.br/,
751,Scotiabank Brasil S.A. Banco Múltiplo,www.br.scotiabank.com,
276,Senff S.A. – Crédito, Financiamento e Investimento,https://www.senff.com.br/
545,Senso Ccvm S.A,https://sensoinvestimentos.com.br/,
190,Servicoop,https://www.servicoop.com.br/,
183,Socred S.A,https://www.socredsa.com.br/,
299,Sorocred Crédito, Financiamento e Investimento S.A.,
118,Standard Chartered Bank (Brasil) S/A–Bco Invest.,www.standardchartered.com,
197,Stone Pagamentos S.A,https://www.stone.com.br/,
340,Super Pagamentos e Administração de Meios Eletrônicos S.A.,https://superdigital.com.br/,
95,Travelex Banco de Câmbio S.A.,www.bancoconfidence.com.br,
143,Treviso Corretora de Câmbio S.A.,https://www.trevisocc.com.br/,
131,Tullett Prebon Brasil Cvc Ltda,http://www.tullettprebon.com.br/,
129,UBS Brasil Banco de Investimento S.A.,www.ubs.com,
091-4,Unicred Central do Rio Grande do Sul,www.unicred-rs.com.br,
91,Unicred Central Rs,https://www.unicred.com.br/,
136,Unicred Cooperativa,https://www.unicred.com.br/,
99,UNIPRIME Central – Central Interestadual de Cooperativas de Crédito Ltda.,www.uniprimecentral.com.br,
84,Uniprime Norte do Paraná – Coop de Economia eCrédito Mútuo dos Médicos, Profissionais das Ciências,www.uniprimebr.com
298,Vips Cc Ltda,https://vipscorretoradecambio.com.br/,
310,Vortx Distribuidora de Títulos e Valores Mobiliários Ltda,https://vortx.com.br/,
102,Xp Investimentos S.A,https://www.xpi.com.br/,
